track_name,artists,streams,released_year
Seven (feat. Latto) (Explicit Ver.),Latto,141381703,2023
Seven (feat. Latto) (Explicit Ver.),Jung Kook,141381703,2023
LALA,Myke Towers,133716286,2023
vampire,Olivia Rodrigo,140003974,2023
Cruel Summer,Taylor Swift,800840817,2019
WHERE SHE GOES,Bad Bunny,303236322,2023
Sprinter,Dave,183706234,2023
Sprinter,Central Cee,183706234,2023
Ella Baila Sola,Eslabon Armado,725980112,2023
Ella Baila Sola,Peso Pluma,725980112,2023
Columbia,Quevedo,58149378,2023
fukumean,Gunna,95217315,2023
La Bebe - Remix,Peso Pluma,553634067,2023
La Bebe - Remix,Yng Lvcas,553634067,2023
un x100to,Bad Bunny,505671438,2023
un x100to,Grupo Frontera,505671438,2023
Super Shy,NewJeans,58255150,2023
Flowers,Miley Cyrus,1316855716,2023
Daylight,David Kushner,387570742,2023
As It Was,Harry Styles,2513188493,2022
Kill Bill,SZA,1163093654,2022
Cupid - Twin Ver.,Fifty Fifty,496795686,2023
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,30546883,2023
Classy 101,Feid,335222234,2023
Classy 101,Young Miko,335222234,2023
Like Crazy,Jimin,363369738,2023
LADY GAGA,Gabito Ballesteros,86444842,2023
LADY GAGA,Junior H,86444842,2023
LADY GAGA,Peso Pluma,86444842,2023
I Can See You (Taylor???s Version) (From The,Taylor Swift,52135248,2023
I Wanna Be Yours,Arctic Monkeys,1297026226,2013
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,200647221,2023
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Peso Pluma,200647221,2023
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,115364561,2023
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),Madonna,115364561,2023
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),Playboi Carti,115364561,2023
SABOR FRESA,Fuerza Regida,78300654,2023
Calm Down (with Selena Gomez),R??ma,899183384,2022
Calm Down (with Selena Gomez),Selena G,899183384,2022
MOJABI GHOST,Tainy,61245289,2023
MOJABI GHOST,Bad Bunny,61245289,2023
Last Night,Morgan Wallen,429829812,2023
Dance The Night (From Barbie The Album),Dua Lipa,127408954,2023
Rush,Troye Sivan,22581161,2023
TULUM,Peso Pluma,52294266,2023
TULUM,Grupo Frontera,52294266,2023
Creepin',The Weeknd,843957510,2022
Creepin',21 Savage,843957510,2022
Creepin',Metro Boomin,843957510,2022
Anti-Hero,Taylor Swift,999748277,2022
TQG,Karol G,618990393,2023
TQG,Shakira,618990393,2023
Los del Espacio,Big One,123122413,2023
Los del Espacio,Duki,123122413,2023
Los del Espacio,Lit Killah,123122413,2023
Los del Espacio,Maria Becerra,123122413,2023
Los del Espacio,FMK,123122413,2023
Los del Espacio,Rusherking,123122413,2023
Los del Espacio,Emilia,123122413,2023
Los del Espacio,Tiago pzk,123122413,2023
Fr??gil (feat. Grupo Front,Yahritza Y Su Esencia,188933502,2023
Fr??gil (feat. Grupo Front,Grupo Frontera,188933502,2023
Blank Space,Taylor Swift,1355959075,2014
Style,Taylor Swift,786181836,2014
TQM,Fuerza Regida,176553476,2023
El Azul,Junior H,354495408,2023
El Azul,Peso Pluma,354495408,2023
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2808096550,2018
Sunflower - Spider-Man: Into the Spider-Verse,Swae Lee,2808096550,2018
I'm Good (Blue),Bebe Rexha,1109433169,2022
I'm Good (Blue),David Guetta,1109433169,2022
See You Again,Tyler,1047101291,2017
See You Again,The Creator,1047101291,2017
See You Again,Kali Uchis,1047101291,2017
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,65156199,2023
Barbie World (with Aqua) [From Barbie The Album],Aqua,65156199,2023
Barbie World (with Aqua) [From Barbie The Album],Ice Spice,65156199,2023
Angels Like You,Miley Cyrus,570515054,2020
I Ain't Worried,OneRepublic,1085685420,2022
Die For You,The Weeknd,1647990401,2016
Starboy,The Weeknd,2565529693,2016
Starboy,Daft Punk,2565529693,2016
Die For You - Remix,Ariana Grande,518745108,2023
Die For You - Remix,The Weeknd,518745108,2023
El Cielo,Feid,107753850,2023
El Cielo,Myke Towers,107753850,2023
El Cielo,Sky Rompiendo,107753850,2023
Baby Don't Hurt Me,David Guetta,177740666,2023
Baby Don't Hurt Me,Anne-Marie,177740666,2023
Baby Don't Hurt Me,Coi Leray,177740666,2023
AMARGURA,Karol G,153372011,2023
(It Goes Like) Nanana - Edit,Peggy Gou,57876440,2023
Another Love,Tom Odell,1813673666,2012
Blinding Lights,The Weeknd,3703895074,2019
Moonlight,Kali Uchis,256483385,2023
La Bachata,Manuel Turizo,1214083358,2022
S91,Karol G,16011326,2023
cardigan,Taylor Swift,812019557,2020
T??,dennis,111947664,2023
T??,MC Kevin o Chris,111947664,2023
